Gene Entrez ID	Gene Symbol
3958	LGALS3
3959	LGALS3BP
3977	LIFR
3978	LIG1
3980	LIG3
3981	LIG4
3996	LLGL1
3998	LMAN1
4000	LMNA
4001	LMNB1
4004	LMO1
4005	LMO2
4035	LRP1
4040	LRP6
4041	LRP5
4052	LTBP1
4054	LTBP3
4056	LTC4S
4057	LTF
4059	BCAM
4067	LYN
4069	LYZ
4071	TM4SF1
4076	CAPRIN1
4077	NBR1
4082	MARCKS
4085	MAD2L1
4086	SMAD1
4087	SMAD2
4088	SMAD3
4089	SMAD4
4090	SMAD5
4091	SMAD6
4092	SMAD7
4093	SMAD9
4094	MAF
4097	MAFG
4105	MAGEA6
4109	MAGEA10
4111	MAGEA12
4115	MAGEB4
4116	MAGOH
4130	MAP1A
4131	MAP1B
4133	MAP2
4134	MAP4
4137	MAPT
4140	MARK3
4141	MARS
4144	MAT2A
4149	MAX
4150	MAZ
4152	MBD1
4154	MBNL1
4160	MC4R
4162	MCAM
4163	MCC
4170	MCL1
4171	MCM2
4172	MCM3
4173	MCM4
4174	MCM5
4175	MCM6
4176	MCM7
4179	CD46
4188	MDFI
4190	MDH1
4191	MDH2
4192	MDK
4193	MDM2
4194	MDM4
4204	MECP2
4205	MEF2A
4208	MEF2C
4209	MEF2D
4214	MAP3K1
4215	MAP3K3
4216	MAP3K4
4217	MAP3K5
4218	RAB8A
4221	MEN1
4222	MEOX1
4223	MEOX2
4232	MEST
4233	MET
4236	MFAP1
4239	MFAP4
4255	MGMT
4258	MGST2
4261	CIITA
4267	CD99
4281	MID1
4283	CXCL9
4286	MITF
4287	ATXN3
4288	MKI67
4291	MLF1
4292	MLH1
4294	MAP3K10
4296	MAP3K11
4297	KMT2A
4299	AFF1
4300	MLLT3
4301	MLLT4
4303	FOXO4
4306	NR3C2
4311	MME
4313	MMP2
4318	MMP9
4323	MMP14
4331	MNAT1
4332	MNDA
4342	MOS
4343	MOV10
4350	MPG
4352	MPL
4353	MPO
4354	MPP1
4357	MPST
4358	MPV17
4360	MRC1
4361	MRE11A
4363	ABCC1
4435	CITED1
4436	MSH2
4438	MSH4
4440	MSI1
4477	MSMB
4478	MSN
4486	MST1R
4501	MT1X
4507	MTAP
4522	MTHFD1
4524	MTHFR
4582	MUC1
4597	MVD
4598	MVK
4599	MX1
4602	MYB
4603	MYBL1
4605	MYBL2
4607	MYBPC3
4609	MYC
4610	MYCL1
4613	MYCN
4615	MYD88
4619	MYH1
4627	MYH9
4628	MYH10
4629	MYH11
4637	MYL6
4638	MYLK
4641	MYO1C
4642	MYO1D
4644	MYO5A
4645	MYO5B
4646	MYO6
4653	MYOC
4654	MYOD1
4659	PPP1R12A
4666	NACA
4670	HNRNPM
4673	NAP1L1
4676	NAP1L4
4677	NARS
4680	CEACAM6
4681	NBL1
4683	NBN
4684	NCAM1
4686	NCBP1
4690	NCK1
4691	NCL
4692	NDN
4693	NDP
4695	NDUFA2
4700	NDUFA6
4701	NDUFA7
4704	NDUFA9
4705	NDUFA10
4711	NDUFB5
4720	NDUFS2
4722	NDUFS3
4728	NDUFS8
4729	NDUFV2
4733	DRG1
4734	NEDD4
4735	SEPT2
4736	RPL10A
4738	NEDD8
4739	NEDD9
4741	NEFM
4744	NEFH
4745	NELL1
4747	NEFL
4751	NEK2
4758	NEU1
4760	NEUROD1
4763	NF1
4771	NF2
4772	NFATC1
4773	NFATC2
4774	NFIA
4775	NFATC3
4776	NFATC4
4779	NFE2L1
4780	NFE2L2
4782	NFIC
4784	NFIX
4790	NFKB1
4791	NFKB2
4792	NFKBIA
4793	NFKBIB
4794	NFKBIE
4796	TONSL
4799	NFX1
4800	NFYA
4802	NFYC
4804	NGFR
4809	NHP2L1
4815	NINJ2
4830	NME1
4831	NME2
4832	NME3
4836	NMT1
4839	NOP2
4841	NONO
4843	NOS2
4846	NOS3
4848	CNOT2
4851	NOTCH1
4852	NPY
4853	NOTCH2
4854	NOTCH3
4855	NOTCH4
4867	NPHP1
4869	NPM1
4879	NPPB
4893	NRAS
4898	NRD1
4899	NRF1
4904	YBX1
4905	NSF
4914	NTRK1
4916	NTRK3
4922	NTS
4924	NUCB1
4925	NUCB2
4926	NUMA1
4927	NUP88
4928	NUP98
4931	NVL
4940	OAS3
4942	OAT
4951	OCM2
4953	ODC1
4967	OGDH
4976	OPA1
4998	ORC1
4999	ORC2
5001	ORC5
5007	OSBP
5019	OXCT1
5034	P4HB
5036	PA2G4
5037	PEBP1
5045	FURIN
5047	PAEP
5048	PAFAH1B1
5049	PAFAH1B2
5050	PAFAH1B3
5052	PRDX1
5054	SERPINE1
5055	SERPINB2
5058	PAK1
5062	PAK2
5069	PAPPA
5071	PARK2
5073	PARN
5079	PAX5
5080	PAX6
5082	PDCL
5083	PAX9
5091	PC
5092	PCBD1
5093	PCBP1
5094	PCBP2
5097	PCDH1
5099	PCDH7
5105	PCK1
5106	PCK2
5108	PCM1
5110	PCMT1
5111	PCNA
5119	CHMP1A
5121	PCP4
5127	CDK16
5129	CDK18
5132	PDC
5139	PDE3A
5144	PDE4D
5156	PDGFRA
5157	PDGFRL
5159	PDGFRB
5160	PDHA1
5162	PDHB
5165	PDK3
5170	PDPK1
5174	PDZK1
5184	PEPD
5190	PEX6
5192	PEX10
5195	PEX14
5198	PFAS
5201	PFDN1
5202	PFDN2
5203	PFDN4
5204	PFDN5
5210	PFKFB4
5213	PFKM
5214	PFKP
5216	PFN1
5217	PFN2
5218	CDK14
5223	PGAM1
5226	PGD
5230	PGK1
5236	PGM1
5241	PGR
5243	ABCB1
5245	PHB
5250	SLC25A3
5252	PHF1
5255	PHKA1
5256	PHKA2
5261	PHKG2
5265	SERPINA1
5271	SERPINB8
5272	SERPINB9
5276	SERPINI2
5283	PIGH
5289	PIK3C3
5290	PIK3CA
5292	PIM1
5295	PIK3R1
5296	PIK3R2
5300	PIN1
5304	PIP
5305	PIP4K2A
5307	PITX1
5308	PITX2
5309	PITX3
5311	PKD2
5313	PKLR
5314	PKHD1
5315	PKM
5318	PKP2
5320	PLA2G2A
5321	PLA2G4A
5324	PLAG1
5325	PLAGL1
5327	PLAT
5329	PLAUR
5331	PLCB3
5333	PLCD1
5335	PLCG1
5336	PLCG2
5337	PLD1
5338	PLD2
5339	PLEC
5340	PLG
5347	PLK1
5348	FXYD1
5350	PLN
5351	PLOD1
5352	PLOD2
5354	PLP1
5355	PLP2
5356	PLRG1
5357	PLS1
5366	PMAIP1
5371	PML
5378	PMS1
5393	EXOSC9
5394	EXOSC10
5395	PMS2
5409	PNMT
5411	PNN
5422	POLA1
5423	POLB
5427	POLE2
5430	POLR2A
5431	POLR2B
